title,description_x,max_salary,pay_period,location,formatted_experience_level,job_posting_url,company_id,name,description_y,country,url
"Validation Engineer, Labware LIMS","Validation Engineer, Labware LIMSFoster City, VALength: year to start, likely extensions
ResponsibilitiesValidation Plans and Change Controls for Labware LIMS (Laboratory Information Management System)Validation testing strategy in accordance with Gilead's policy and proceduresclosely with System Manager, Quality Assurance and Business Process Owners to effectively and efficiently implement LIMS projectswith understanding the business requirements, analyze and help translate into functional requirements for assigned LIMS projectsclosely with other validation team members to ensure system impact is assessed and mitigation strategy is in place for multiple sites using LIMS applicationreview & approve CSV deliverables such as, User/Functional Specification, Design specification, IQ/OQ/PQ qualifications for LIMS projectsfor Qualification protocols execution and final report view and approval for LIMS projects""Data Integrity” related- risk assessments,investigations suggest implementing remediations in CGMP operations.Data Integrity compliance/impact assessments, risk assessments, and create short executive summary reports.with the external partner or internal site to assess their DI maturity state and document the results of the assessment.
Required Experience / Skills:of 6-10+ years of experience (Hiring for multiple roles Junior, Mid and Senior levels) working on a Labware LIMS application and GMP pharmaceutical / biotechnology / medical device environment. Laboratory experience as a chemist or microbiologist, et al is preferred.knowledge and expertise Computer System Validation, FDA& international requirements and Part 11requirements.to master technical content through interaction with subject matter experts.communication and interpersonal skills.Systems Validation (CSV) experience writing validation deliverables per GAMP guidelines is required.of programming and relational database concepts is required.
Required Education:BA/BS degree related to technical writing; e.g. biology, chemistry, computer science and/or technology disciplines is preferred.",70.0,HOURLY,"Foster City, CA",Mid-Senior level,https://www.linkedin.com/jobs/view/2558399667/?trk=jobs_biz_prem_srch,2610793.0,"I.T. Solutions, Inc.","itsoli is a Consulting and Professional Services firm that provides the in-depth expertise your business needs and the flexibility your changing environment requires to help you succeed.

As dedicated IT practitioners, we specialize in helping companies with their planning, delivery, and transformation challenges. By combining technical, functional, and business expertise, we deliver results that drive innovation.",US,https://www.linkedin.com/company/i-t-solutions-inc-
Administrative Assistant - CONCUR,"Global Financial Services firm is seeking an experienced Executive Administrative Assistant to join their New York City offices. Remarkable opportunity for qualified Executive Administrative Assistants seeking a challenging and dynamic role. 
Responsibilities include but not limited to:Executive level support to multiple Managing Directors,Managing travel expenses for 15-20 bankers through Concur,Overseeing the collection and processing of receipts,Maintaining complex calendar coordination, Managing a deadlines with precision, Provide back-up coverage for other team admins.Assist with logistical arrangements for events including conference room preparation and webinar hosting.
Skills/Requirements:High emphasis collaborative mindset/team player,Experience with Concur is required,Experience in a supportive position to multiple people highly preferred,Demonstrate quick learning aptitude,Ability to thrive in a high-pressure, deadline-driven environment,Exceptional time management skills,Prioritization skills and capacity to multitask.",90000.0,YEARLY,"New York, NY",Associate,https://www.linkedin.com/jobs/view/2989631782/?trk=jobs_biz_prem_srch,3496915.0,ActOne Group,"The ActOne Group is a global leader in the human resources industry that specializes in partnering with firms looking to optimize human resource talent management. 

For nearly 50 years, we have found success by focusing our energy on three distinct business categories: Workforce Solutions, Staffing Solutions and Business Solutions. Today, The ActOne Group has over 13,000 clients and 2,500 employees located throughout the United States, Canada, Puerto Rico, India, Brazil, South Korea, Germany, Denmark and the United Kingdom. We are a privately-held California corporation that bears the distinction of being the largest zero-debt, woman- and minority-owned workforce management company in the United States.

WORKFORCE SOLUTIONS
AgileOne combines best-of-breed talent acquisition technology with an experienced managed services team to create a valuable workforce technology solution. We help organizations streamline processes, from the automation of requisitions and time-card management, to supplier relationship support, accurate invoice processing and real-time, customized reporting. 

STAFFING SOLUTIONS
We are one of the Staffing Firms in the U.S. and provide services under these brands:
 - AppleOne Employment Services
 - AllSTEM
 - All's Well Health Care Services
-  ActOne Executive Search
BUSINESS SERVICES
 - A-Check America 
 - AppleOne Payroll & Tax Filing
 - CTA Travel - full service travel agency
 - ActOne Government
 - ATIMS
 - AllCare
",US,https://www.linkedin.com/company/actonegroup
Customer Service Representative,"We are seeking future agents to join our team!We are looking for driven, self-motivated, hardworking, and business-oriented Health Insurance Agents. While the expectation level is set high, we’re still a fun-loving office comprised of like-minded young professionals that become family. Our office frequently has events, outings, and other activities to celebrate our hard work.
- Full-time position. No part-time positions available.- Professional demeanor and dresscode required.- Experience in sales is preferred, but not required.- Computer proficiency (including typing) and MS Office required. Use of an auto-dialer preferred.- Florida 2-15 Health, Life & Annuities License required. We help you in obtaining this if not currently licensed.- Unlimited & FREE in-house leads provided for you. NO COLD-CALLING.- Also included are Weekly Advances, Monthly Commission Paychecks, Quarterly Bonuses and the opportunity to receive Monthly Production Bonuses, Residuals, and participation in our stock programs.
Job Types: Full-time, Contract
Pay: $75,000.00 - $105,000.00 per year
Benefits:Flexible schedule
Compensation package:Bonus opportunitiesCommission pay
Schedule:Monday to FridayRotating weekends
Application Question(s):Are you able to pass a background check through the state of Florida?
License/Certification:Health Insurance License (Preferred)
Work Location: 7055 S Kirkman Rd, Orlando FL",105000.0,YEARLY,"Greater Orlando, FL",Entry level,https://www.linkedin.com/jobs/view/3177010992/?trk=jobs_biz_prem_srch,72313277.0,ABC Farigua Division,"Our mission is to help others with the same opportunity that we received when looking for a career. Our office is unique due to the culture, atmosphere, diversity, honesty and success. This career has changed many lives, and we hope to change yours too. ",US,https://www.linkedin.com/company/abcfariguadivision
Inbound Call Center Specialist,"Always Connecting, Always Evolving.
If you are looking for a new opportunity and this position looks to be a fit, please apply to see the TECHEAD difference that has made us successful for 30+ years!
You can find more about our team and values by checking us out at TECHEAD.com or on Glassdoor
Inbound Call Center Specialist 
~ Contract: 12 month contract, high potential for extension or conversion~ Richmond, VA~ Hybrid schedule: 1 week on-site, 1 week remote~ Hours: 8:00 am - 5:00 pm or 8:30 am - 5:30 pm, Monday-Friday~ Potential candidates should be flexible and willing to work occasional extended hours, weekends, and some holidays. ~ Local Candidates Only - must CURRENTLY live within 45 minutes of Richmond, VA~ Candidates MUST be able to start June 18th, 2024. Time off is not permitted within the first 90 days due to training. No exceptions.
Responsibilities:Assist customers with basic to complex inquiries to include: high bill inquiries, support/assistance to resolve customer inquiries,Perform billing reconciliation through analysis and reconciliation to resolve the customer’s needsProvide detailed explanations/applications to customers.
Top Required Skills:Must have customer-facing experience (in person or phone): 2 years or moreMust have strong computer skills (Microsoft office, video conferencing, etc.)Must be able to multi-task between activities and screens during customer interactions.Experience working with the public where the customer experience is the main focus.Must have STRONG interpersonal communication skills with customers, supervisors, peers.
Requirements:Experience in customer service with drive and desire to assist customers.Ability to work in a team environment and work independently as needed.Minimum 2+ years of experience in a inbound call center environment
Education:HS/GED RequiredAssociate degree preferred, but not required
TECHEAD’s mission is to make our on-site associates successful by placing them in the right environment so they can grow and prosper. How we treat and respond to our clients and employees is a reflection of who we are and makes us stand out from the rest. Keeping our business focused on building and maintaining relationships with our employees and clients is the key to our success. We won’t strive for anything less.
TECHEAD provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
For more information on TECHEAD please visit www.techead.com.No second parties will be accepted.",19.0,HOURLY,"Richmond, VA",Associate,https://www.linkedin.com/jobs/view/3550388220/?trk=jobs_biz_prem_srch,33605.0,TECHEAD,"TECHEAD is your dedicated Staffing partner since 1988!

To help your business grow, you need smart professionals on your staff or by your side. Finding the right professionals - when you need them - is easier said than done.  The team at TECHEAD can help you with that.

Match the right person with the right skills the first time!

We Can Build Your Staff >>> For small businesses to Fortune 500's, we're on the pulse of contingent workforce planning, staffing and recruiting across the nation. We find, screen, qualify, and deliver top-notch creative, technical, financial and administrative talent.  So you don't have to. Easy!

We Can Train Your People>>>Don't miss a beat or lose a dime on your staffing investment. Our graphic design software, IT development, project management and end-user training is engaging, effective and affordable. It's flexible too... we'll come to your place, meet you online or welcome you to our facility, the only locally owned Adobe Certified Training Center in Virginia.

We Can Deliver Creative Solutions>>>Outsourcing your creative services, web and mobile development projects is another option.  With your business's goals in focus, our team will design and implement e-business, e-commerce, website, mobile, multimedia, copywriting, social media and SEO solutions all on your behalf.

For more information visit www.techead.com
A full list of our current positions are listed at www.jobs.techead.com

Friend us on Facebook: www.facebook.com/MyTechead",US,https://www.linkedin.com/company/techead
Tool and Die Maker,"Job Summary:The Tool and Die Maker will build dies from concept and strip layout drawings, efficiently plan work sequence, read and understand design drawings, and assist with die tryout and part inspection.Duties/Responsibilities:Analyzes blueprints, determines materials required, and machines various pieces of material and components in order to make, modify, or repair tools, dies, etc.Tries out new tooling or production equipment and reworks and modifies tooling until an acceptable part is produced from specified material.Verifies dimensions, alignments, and clearances using measuring instruments such as dial indicators, gauges, blocks, thickness gauges, and micrometers.Develops specifications from general descriptions for specialty tools and draws or sketches design of product.Required Education and Experience:5 years of experience as a Tool and Die Maker.Experience in maintaining and repairing production dies.Preferred Education and Experience:High school diploma or equivalent.Experience with ProtoTRAK programming on knee and bed mills.#resources",35.0,HOURLY,Cincinnati Metropolitan Area,Associate,https://www.linkedin.com/jobs/view/3614817348/?trk=jobs_biz_prem_srch,2447993.0,Prolink,"We are here to solve your existing problems and prevent new ones. Prolink is a premier workforce solutions organization, fulfilling comprehensive staffing, technology, culture, data, and talent experience needs throughout the United States. Founded in 2011, Prolink is built upon a foundation of trusted relationships with our clients, talent, and internal team; together, this is the Prolink Family. We strive to be the vehicle that drives every member to succeed personally, professionally, and financially. 

Simply put, Prolink connects work and workers in meaningful ways across multiple industries and skillsets. We have earned a reputation as a forward-thinking and responsive partner that delivers the highest quality, customized workforce solutions, thanks to our expert industry knowledge, direct and transparent communication, and commitment to meeting client goals and needs. Our purpose is to bring your legacy to life, and we promise to be your solution to get there. ",US,https://www.linkedin.com/company/prolinkworks
Senior Mechanical Engineer,"Senior Mechanical Engineer
Location: Redwood City, CA
About DexterityAt Dexterity, we’re building robotic automation systems to perform pick-place-pack tasks in warehouses. Our end-to-end automation systems use intelligent software to enable human-like dexterity in commodity robot arms. Such intelligent robots will deeply impact the logistics industry and help realize a step change in logistics automation and supply chain productivity.Dexterity is one of the fastest growing and best funded startups in the robot manipulation space. Come join our team of robot-obsessed engineers and help make intelligent robots a reality.
About the Role We are looking for an experienced, enthusiastic engineer to join our mechanical team. They will be expected to design, prototype, test, release, and coordinate manufacturing of novel solutions to robotics problems. In addition to design duties, the candidate will be expected to smoothly interface across functions, including with supply chain, customers, investors and internal leadership.
The candidate must be capable of working both autonomously and with the broader engineering team to ensure cohesive system design. Our engineers work quickly and enthusiastically to turn team and client feedback into improved engineering solutions.
The candidate would be expected to also be involved in recruitment and would help expand our engineering team or help build new teams to meet the company’s engineering goals.
Day-to-day Responsibilities (does not include all responsibilities)-Take inputs from customers (both internal and external) and generate sub-system requirements.-Utilize a set of requirements to design elegant solutions both quickly and carefully, independently preempting issues of manufacturability and future maintenance.-Transform tested conceptual solutions into robust product designs in coordination with engineering, operations, the customer and contract manufacturers.-Design and release components and systems using SolidWorks.-Develop production and support documentation including bills of material (BOMs), assembly drawings, and maintenance instructions.-Perform test and verification of prototype systems.-Perform system design analyses, including reliability, design-for-manufacture, design-for-assembly, cost-downs, etc.-Coordinate engineering efforts across the mechanical engineering team.-Mentor junior engineers, help improve designs, and inculcate a production mindset.
Desired Experience, Knowledge, Skills and Abilities-Bachelor's or Master's in Mechanical Engineering.-5 or more years of related work experience, including having advanced designs from initial concept through scale production.-Significant experience using 3D CAD, preferably SolidWorks - including 2D drawings and simulations.-Experience designing motion control systems with sensors, actuators and complex mechanisms.-A working knowledge of ASME and ISO drafting standards including GD&T, (Y14.5-2009).-A working knowledge of DFM/A and statistical tolerance analysis.-A working knowledge of failure avoidance methods including DFMEA/PFMEA and fault tree analysis.-Able to work with customers and contract manufacturers.-Able to manage multiple projects and engineering teams concurrently.-High level of technical writing proficiency (specs, test plans, reports, white papers, etc.).-Familiarity with electrical design and integration (cable harnesses, wiring diagrams) is a plus.-Have worked in mid-to-large sized teams (5-20 people) and mentored junior engineers to build production-grade systems.
Base pay is one element of our Total Rewards package which may also include comprehensive benefits and equity etc., depending on eligibility. The annual base salary range for this position is from $150,000 to $190,000. The actual base pay offered will be determined on factors such as years of relevant experience, skills, education etc. Decisions will be determined on a case-by-case basis.
Equal Opportunity EmployerWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",190000.0,YEARLY,"Redwood City, CA",Mid-Senior level,https://www.linkedin.com/jobs/view/3619548798/?trk=jobs_biz_prem_srch,28173564.0,"Dexterity, Inc.","We deliver full-stack robot dexterity solutions for logistics, warehousing, and supply chain operations. Our robots pick, move, pack, and collaborate with human-like skill in existing infrastructure to solve the toughest problems in material handling.",US,https://www.linkedin.com/company/dexterityinc
Quality Engineer,"Staff Management | SMX is currently in search of a Quality Engineer for our client located in New Albany, IN. This is a direct hire position with benefits. Send over your resume to Melanie Earle at mearle@staffmanagement.com so that we can get you started!
Perks & BenefitsWeekly paychecksDirect Deposit or Cash Card pay optionsMedical / Dental Insurance
Employment Type & ShiftsFull TimeDirect Hire1st Shift
Job ResponsibilitiesMonitors and improves the quality standards for production facility and the inspection lab.Provides immediate cause investigation to internal and external non conformances.Assists in implementing corrective action and follows up to ensure corrective action has taken place.Ensures corrective action is effective.Works as a team to assist in training production and inspection on quality standards.Applies statistical techniques and design of experiments to determine cause and countermeasure activities in response to non conformances and line improvement projects.Interacts with the customer, production, inspection and engineering to determine and provide feedback on causes and corrective action for non conformances.Monitors and/or assists with the corrective action implementation.Obtains customer approval by providing part submissions to the customer for process improvements, process changes and engineering changes for products in mass production.Monitors production process to ensure effectiveness of corrective action.
Associate RequirementsBachelorsBackground CheckDrug TestMust be at least 18 years old
The hourly rate for this position is anticipated to range between $28.00 - $43.00 per hour. This range is a good-faith estimate, based on the qualifications necessary for the position, including but not limited to experience, training, and other considerations permitted by law. Factors that may be used when making an offer may include a candidate's skills and experience, the expected quality and quantity of work, and internal pay alignment, as needed. Most candidates will start in the bottom half of the pay range. The upper end of the range will generally be reserved for candidates with extensive skills and experience. An employee's pay history will not be a contributing factor where prohibited by local law.",43.0,HOURLY,"New Albany, IN",Associate,https://www.linkedin.com/jobs/view/3627141928/?trk=jobs_biz_prem_srch,14336.0,Staff Management | SMX,"Founded in 1988, Staff Management is a recognized leader of comprehensive workforce solutions that deliver best talent, drive compliance, yield tangible savings and build sustainable value. Our expertise in supporting clients within the fulfillment, distribution and manufacturing industries, combined with our proven centralized service model and precision recruitment processes are key differentiators within the industry. Staff Management | SMX received Inavero’s 2018 Best of Staffing Award for the third year in a row. We currently have client satisfaction scores eight times greater than the industry's average. 

As the pioneer of Onsite Workforce Management (OWM), Staff Management | SMX is the expert in exclusive recruitment and vendor on premise management of an industrial facility's contingent workforce. Our OWM service model improves productivity while lowering risk and cost for our clients. In addition to our OWM service model, Staff Management | SMX specializes in Recruitment and Placement Solutions (RPS) for your semi- to highly-skilled contract, temp-to-hire and direct hire needs. 

As part of TrueBlue Outsourcing Solutions, Staff Management | SMX has the ability to provide best-in-class solutions for your individual business needs. Together with TrueBlue, the largest industrial staffing provider in the US, we can offer our clients a broader range of industry leading services. TrueBlue is recognized as one of Forbes’ 100 Most Trustworthy Companies for their solid corporate governance and accounting transparency.",US,https://www.linkedin.com/company/staff-management
Quality Assurance Specialist,"About Ascendion Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to engineer the next. Ascendion | Engineering to elevate life We have a culture built on opportunity, inclusion, and a spirit of partnership. Come, change the world with us: Build the coolest tech for world’s leading brandsSolve complex problems – and learn new skillsExperience the power of transforming digital engineering for Fortune 500 clientsMaster your craft with leading training programs and hands-on experience 
Experience a community of change makers! Join a culture of high-performing innovators with endless ideas and a passion for tech. Our culture is the fabric of our company, and it is what makes us unique and diverse. The way we share ideas, learning, experiences, successes, and joy allows everyone to be their best at Ascendion. 
About the Role: Implementing and auditing the manufacturing quality strategy, food safety, process and program quality and regulatory compliance to ensure the continuous supply of safe, wholesome and premium quality products to customers. 
Job Title: Quality Assurance Specialist
Key Responsibilities: Go into the box to look through the complaints coming in.Navigating emailsGoing into the workspace to see the issues submitted by the baristas on the product issues.Organizing ticketsGo into the systems to pull the list of suppliers to pinpoint who needs help.Managing suppliers’ backendSubject matter experts’ collaboration (SME)
Minimum Qualifications: MS SuiteOrganizational skills Growth MindsetQuality Mindset/Understanding Quality management set upInnovativeHas passionFood/product safetyTech savvy
Desired Qualifications: If they have experience addressing the food/safetyEntilexIf they came from a vitamins/ pharm area
Location:  Seattle, WA
Salary Range: The salary for this position is between $40,000 – $50,000 annually. Factors which may affect pay within this range may include geography/market, skills, education, experience, and other qualifications of the successful candidate. 
Benefits: The Company offers the following benefits for this position, subject to applicable eligibility requirements: Medical insurance, Dental insurance, Vision insurance, 401(k) retirement plan, long-term disability insurance, short-term disability insurance, and 5 personal days accrued each calendar year. The Paid time off benefits meets the paid sick and safe time laws that pertain to the City/ State, 10-15 days of paid vacation time, 6 paid holidays, and 1 floating holiday per calendar year, Ascendion Learning Management System.
Want to change the world? Let us know. Tell us about your experiences, education, and ambitions. Bring your knowledge, unique viewpoint, and creativity to the table. Let’s talk!",72000.0,YEARLY,"Seattle, WA",Associate,https://www.linkedin.com/jobs/view/3681437990/?trk=jobs_biz_prem_srch,86694680.0,Ascendion,"Ascendion is a leading provider of AI-first software engineering services. Our applied AI, software engineering, cloud, data, experience design, and talent transformation capabilities accelerate innovation for Global 2000 clients. Ascendion is headquartered in New Jersey. In addition to our remote/hybrid workforce, we have 30 offices across the U.S., India, and Mexico. We are committed to building technology powered by Generative AI with an inclusive workforce, service to our communities, and a vibrant culture. For more information, please go to www.ascendion.com.",US,https://www.linkedin.com/company/ascendion
"Technical Designer, Womans Denim Bottoms ","PREMIER BRANDS GROUP HOLDINGSIconic by Nature, Exceptional by Design
Premier Brands Group Holdings, A Global Leader in Apparel, Jewelry and Accessories Design Driven by excellence and innovative talent, Premier Brands Group is a leading, global apparel group of iconic brands, offering a diverse portfolio in denim, women’s apparel, and jewelry.Premier Brands Group is comprised of three distinct businesses that create top-tier brands for the discerning consumer.One Jeanswear Group designs and distributes a distinguished portfolio of branded and private label Jeanswear throughout North America.An apparel industry leader for 30+ years, The Kasper Group has remained committed to excellence in offering iconic brands and relevant womenswear designs.The Jewelry Group has a 20+ year legacy of developing, sourcing and selling elevated fashion jewelry pieces, with a design-centric point of view.Our legacy is rooted in our rich portfolio of the most covetable denim, apparel, jewelry and accessories brands in the world. Each respective group is Iconic by Nature and Exceptional by Design.
We are currently seeking a Technical Designer.The day-to-day responsibilities will include but not limited to:
 Support Technical Design Manager in the management of the fit approval process. Assist Technical Design Manager in development of accurate specs and construction details and issuing to the factory. Proactive follow up of samples with production team and factories to ensure the time and action calendar is followed. Develop a good working relationship with design and production departments. Active participation in the fit approval process. Assist supervisor in generating and maintaining specs and construction details and issuing to the factory. Assist supervisor in maintaining best practices and construction details of the product with consistency with all factories. Measure and prepare fit samples for fitting on the model. Take detailed notes in model fitting under supervision of technical designer. Assist technical designer in communicating the results of the fit sample session to the factory. Generate technical construction packages for the factory under supervision of technical designer. Must adhere to the department timeline. Must be highly motivated to advance the goals of the brand and the technical department.
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
 Must possess good computer skills, PLM, illustrator and Gerber knowledge. Must have knowledge of fit, patterns and garment construction and pattern corrections. Attention to detail and accuracy is a required skill. Must have good retention of facts and department systems. Must have experience communicating with the factories. Strong ability to organize and prioritize the department workload.
Salary Range: 70K – 80K
*Actual base salary for this role within the above range will be based upon experience, qualifications and/or assigned unit.
We are an EEO/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status.",95000.0,YEARLY,New York City Metropolitan Area,Mid-Senior level,https://www.linkedin.com/jobs/view/3704190127/?trk=jobs_biz_prem_srch,80318658.0,Premier Brands Group Holdings,"PREMIER BRANDS GROUP HOLDINGS
Iconic by Nature, Exceptional by Design

Premier Brands Group Holdings, A Global Leader in Apparel, Jewelry and Accessories Design
 
Driven by excellence and innovative talent, Premier Brands Group is a leading, global apparel group of iconic brands, offering a diverse portfolio in denim, women’s apparel, and jewelry. 

Premier Brands Group is comprised of three distinct businesses that create top-tier brands for the discerning consumer. One Jeanswear Group designs and distributes a distinguished portfolio of branded and private label jeanswear throughout North America. 
An apparel industry leader for 30+ years, The Kasper Group has remained committed to excellence in offering iconic brands and relevant womenswear designs.
The Jewelry Group has a 20+ year legacy of developing, sourcing and selling elevated fashion jewelry pieces, with a design-centric point of view. 

Our legacy is rooted in our rich portfolio of the most covetable denim, apparel, jewelry and accessories brands in the world. Each respective group is Iconic by Nature and Exceptional by Design. 
",US,https://www.linkedin.com/company/premier-brands-group-holdings
Flight Software Engineer,"Must Haves:10-15 years of experience with C++ design and development in an embedded software environmentExperience with full life cycle software development (Research, gather requirements, write code, & test.)Experience working with C++ on a Linux OSExperience with project work (aka designing from scratch, not just maintaining/upgrading) Plusses:Experience with spaceflight (manned or unmanned) or other safety critical systems like airplanes, helicopters, rockets, submarines, military tanks, or other vehicles.Experience with microcontroller programming in CSoftware design/development experience in a regulated environment (Spacecraft, aerospace, high fidelity or other heavily regulated environments like healthcare.)Bachelor’s Degree in computer science, engineering, or a related field Day to Day:Insight Global is looking to hire a dynamic Flight Software Engineer for a commercial space company located in Webster, TX. This individual will mostly be responsible for designing, developing, and testing functional and dependable embedded flight software for one of the first commercial space stations. The Flight Software Engineer will collaborate with hardware engineers on board-level firmware and with avionics engineers to integrate hardware simulation into real-time software (coding to make hardware move as it was intended).",170000.0,YEARLY,"Webster, TX",Mid-Senior level,https://www.linkedin.com/jobs/view/3803052628/?trk=jobs_biz_prem_srch,11056.0,Insight Global,"Insight Global is an international staffing and services company specializing in sourcing IT, accounting, finance, healthcare, and engineering professionals and delivering service-based solutions to Fortune 1000 clients. With more than 70 office locations throughout the U.S,. Canada, and U.K., Insight Global placed more than 50,000 people in jobs in 2022. In addition to staffing services, Insight Global provides culture consulting, DEI training, specialized healthcare staffing and resources, and an array of client programs through our managed services division, Evergreen. To find out more, visit www.insightglobal.com ",US,https://www.linkedin.com/company/insight-global
